exam_name,section_title,case_study_title,visit_title,visit_content,question_text,max_point,option_1,option_2,option_3,option_4,correct_option,score_category_1,content_area_1,score_category_2,content_area_2
"Seed Exam (11 Sections)","Section 10: Clinical Supervision","Case Study for Section 10","Visit 3","Content for Section 10 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Professional Counseling Orientation and Ethical Practice"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 1","Content for Section 11 Visit 1","What is the primary diagnosis?",1,"Major Depression","Generalized Anxiety",PTSD,"Adjustment Disorder",C,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 1","Content for Section 11 Visit 1","Follow-up Q1: What is the primary diagnosis?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 1","Content for Section 11 Visit 1","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Assessment and Testing"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 2","Content for Section 11 Visit 2","What is the prognosis?",1,Excellent,Good,Fair,Poor,B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 2","Content for Section 11 Visit 2","Follow-up Q1: What is the prognosis?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 2","Content for Section 11 Visit 2","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Intake Assessment and Diagnosis","CACREP Areas","Career Development"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 3","Content for Section 11 Visit 3","What is the follow-up plan?",1,"3 months check-in","No follow-up","Weekly sessions","Group therapy",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 3","Content for Section 11 Visit 3","Follow-up Q1: What is the follow-up plan?",1,"Evaluate further","Document immediately","Consult colleague","Refer out",B,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
"Seed Exam (11 Sections)","Section 11: Final Synthesis","Case Study for Section 11","Visit 3","Content for Section 11 Visit 3","Follow-up Q2: What is the secondary consideration here?",1,"Client safety","Legal protocol","Theory application","Financial concern",A,"Counselor Work Behavior Areas (Domains)","Professional Practice and Ethics","CACREP Areas","Counseling and Helping Relationships"
